亚洲排名	学校名称	学校英文名	国家/地区	世界排名
239	孔敬大学	Khon Kaen University	 泰国	971
239	高知大学	Kochi University	 日本	971
241	顺天堂大学	Juntendo University	 日本	973
241	山西大学	Shanxi University	 中国	973
243	爱媛大学	Ehime University	 日本	977
243	南昌大学	Nanchang University	 中国	977
245	中国医科大学	China Medical University	 中国	980
245	东京医科大学	Tokyo Medical University	 日本	980
247	近畿大学	Kinki University (Kindai University)	 日本	983
248	天津医科大学	Tianjin Medical University	 中国	985
249	华南农业大学	South China Agricultural University	 中国	990
250	富山大学	University of Toyama	 日本	994
251	南京信息工程大学	Nanjing University of Information Science & Technology	 中国	996
252	日本大学	Nihon University	 日本	999
252	横滨市立大学	Yokohama City University	 日本	999
254	加尔各答大学	University of Calcutta	 印度	1003
254	湘潭大学	Xiangtan University	 中国	1003
254	浙江工业大学	Zhejiang University of Technology	 中国	1003
257	山形大学	Yamagata University	 日本	1009
258	中国药科大学	China Pharmaceutical University	 中国	1010
259	国立台湾海洋大学	National Taiwan Ocean University	 台湾	1014
259	第二军医大学	Second Military Medical University	 中国	1014
261	青岛大学	Qingdao University	 中国	1019
261	电气通信大学	University of Electro-Communications - Japan	 日本	1019
263	埃尔吉耶斯大学	Erciyes University	 土耳其	1023
264	釜庆国立大学	Pukyong National University	 韩国	1025
265	杜库兹伊鲁尔大学	Dokuz Eylul University	 土耳其	1028
266	嘉泉大学	Gachon University	 韩国	1029
267	安娜大学	Anna University Chennai	 印度	1032
268	上海海洋大学	Shanghai Ocean University	 中国	1037
268	约旦大学	University of Jordan	 约旦	1037
270	东国大学	Dongguk University	 韩国	1040
271	浙江师范大学	Zhejiang Normal University	 中国	1044
272	东京女子医科大学	Tokyo Women's Medical University	 日本	1048
273	德岛大学	Tokushima University	 日本	1050
274	旁遮普大学（巴基斯坦）	University of Punjab	 巴基斯坦	1051
275	台湾亚洲大学	Asia University Taiwan	 台湾	1055
275	汕头大学	Shantou University	 中国	1055
277	岐阜大学	Gifu University	 日本	1057
278	阿塔图尔克大学	Ataturk University	 土耳其	1062
279	浦那大学	University of Pune	 印度	1068
280	阿克登尼基大学	Akdeniz University	 土耳其	1070
280	黑海理工大学	Karadeniz Teknik University	 土耳其	1070
280	上海理工大学	University of Shanghai for Science	 中国	1070
280	云南大学	Yunnan University	 中国	1070
284	陕西师范大学	Shaanxi Normal University	 中国	1078
285	埼玉大学	Saitama University	 日本	1080
286	国立中正大学	National Chung Cheng University	 台湾	1082
286	国立台北科技大学	National Taipei University of Technology	 台湾	1082
288	玛拉工艺大学	Universiti Teknologi MARA	 马来西亚	1084
289	巴基斯坦信息技术学院	COMSATS Institute of Information Technology (CIIT)	 巴基斯坦	1092
289	京都府立医科大学	Kyoto Prefectural University of Medicine	 日本	1092
289	费萨拉巴德农业大学	University of Agriculture Faisalabad	 巴基斯坦	1092
292	哈尔滨医科大学	Harbin Medical University	 中国	1097
292	伊斯法罕大学	University of Isfahan	 伊朗	1097
294	杭州师范大学	Hangzhou Normal University	 中国	1100
294	乌鲁达大学	Uludag University	 土耳其	1100
296	藤田保健卫生大学	Fujita Health University	 日本	1104
296	韦洛尔理工学院	Vellore Institute of Technology	 印度	1104
298	山口大学	Yamaguchi University	 日本	1106
298	横滨国立大学	Yokohama National University	 日本	1106
300	大阪府立大学	Osaka Prefecture University	 日本	1109
301	南京邮电大学	Nanjing University of Posts & Telecommunications	 中国	1111
302	三重大学	Mie University	 日本	1114
303	名古屋市立大学	Nagoya City University	 日本	1116
304	东北林业大学	Northeast Forestry University - China	 中国	1117
305	重庆医科大学	Chongqing Medical University	 中国	1119
305	名古屋工业大学	Nagoya Institute of Technology	 日本	1119
305	塞尔丘克大学	Selcuk University	 土耳其	1119
308	马德拉斯大学	University of Madras	 印度	1123
309	九州工业大学	Kyushu Institute of Technology	 日本	1125
309	琉球大学	University of Ryukyus	 日本	1125
309	浙江理工大学	Zhejiang Sci-Tech University	 中国	1125
312	首都师范大学	Capital Normal University	 中国	1128
313	菲亚特大学	Firat University	 土耳其	1130
314	檀国大学	Dankook University	 韩国	1132
314	国立东华大学	National Dong Hwa University	 台湾	1132
314	首尔国立科技大学	Seoul National University of Science & Technology	 韩国	1132
317	阿纳多卢大学	Anadolu University	 土耳其	1137
317	北里大学	Kitasato University	 日本	1137
319	中原大学	Chung Yuan Christian University	 台湾	1140
320	安徽大学	Anhui University	 中国	1143
321	山梨大学	University of Yamanashi	 日本	1144
322	自治医科大学	Jichi Medical University	 日本	1145
323	仁济大学	Inje University	 韩国	1146
323	佐贺大学	Saga University	 日本	1146
323	静冈大学	Shizuoka University	 日本	1146
326	青岛科技大学	Qingdao University of Science & Technology	 中国	1149
326	沙希德·贝赫什提医科大学	Shahid Beheshti University Medical Sciences	 伊朗	1149
328	日本医科大学	Nippon Medical School	 日本	1152
329	翰林大学	Hallym University	 韩国	1156
330	茨城大学	Ibaraki University	 日本	1158
331	东亚大学	Dong A University	 韩国	1162
331	广西大学	Guangxi University	 中国	1162
331	群马大学	Gunma University	 日本	1162
334	宫崎大学	University of Miyazaki	 日本	1167
335	久留米大学	Kurume University	 日本	1170
336	朝鲜大学	Chosun University	 韩国	1172
336	札幌医科大学	Sapporo Medical University	 日本	1172
336	淡江大学	Tamkang University	 台湾	1172
339	济州国立大学	Jeju National University	 韩国	1176
339	太原理工大学	Taiyuan University of Technology	 中国	1176
341	济南大学	University of Jinan	 中国	1178
341	扬州大学	Yangzhou University	 中国	1178
343	安那马来大学	Annamalai University	 印度	1181
343	杭州电子科技大学	Hangzhou Dianzi University	 中国	1181
343	沈阳药科大学	Shenyang Pharmaceutical University	 中国	1181
343	南方医科大学	Southern Medical University - China	 中国	1181
347	马尼帕尔大学	Manipal University	 印度	1186
347	昭和大学	Showa University	 日本	1186
349	天津工业大学	Tianjin Polytechnic University	 中国	1188
350	燕山大学	Yanshan University	 中国	1190
350	元智大学	Yuan Ze University	 台湾	1190
352	辅仁大学	Fu Jen Catholic University	 台湾	1193
352	福冈大学	Fukuoka University	 日本	1193
352	崇实大学	Soongsil University	 韩国	1193
355	慈惠大学	Jikei University	 日本	1196
355	温州医科大学	Wenzhou Medical University	 中国	1196
357	弘前大学	Hirosaki University	 日本	1199
357	国民大学	Kookmin University	 韩国	1199
359	山东农业大学	Shandong Agricultural University	 中国	1201
359	东邦大学	Toho University	 日本	1201
361	安徽医科大学	Anhui Medical University	 中国	1206
362	广东工业大学	Guangdong University of Technology	 中国	1207
362	河南师范大学	Henan Normal University	 中国	1207
364	宁波大学	Ningbo University	 中国	1209
364	卡拉奇大学	University of Karachi	 巴基斯坦	1209
366	顺天乡大学	Soonchunhyang University	 韩国	1212
367	四川农业大学	Sichuan Agricultural University	 中国	1213
368	科贾埃利大学	Kocaeli University	 土耳其	1215
369	香川大学	Kagawa University	 日本	1217
369	光云大学	Kwangwoon University	 韩国	1217
371	江苏师范大学	Jiangsu Normal University	 中国	1220
372	大连医科大学	Dalian Medical University	 中国	1221
372	新疆大学	Xinjiang University	 中国	1221
374	天津科技大学	Tianjin University Science & Technology	 中国	1223
375	设拉子医科大学	Shiraz University of Medical Science	 伊朗	1224
376	逢甲大学	Feng Chia University	 台湾	1225
376	兵库大学	University of Hyogo	 日本	1225
378	黑龙江大学	Heilongjiang University	 中国	1227
378	昂达库兹美伊斯大学	Ondokuz Mayis University	 土耳其	1227
380	塔帕尔大学	Thapar University	 印度	1230
381	上海中医药大学	Shanghai University of Traditional Chinese Medicine	 中国	1231
382	埃斯基谢希尔大学	Eskisehir Osmangazi University	 土耳其	1233
382	帕姆卡尔大学	Pamukkale University	 土耳其	1233
382	岛根大学	Shimane University	 日本	1233
385	福井大学	University of Fukui	 日本	1237
386	兵库医科大学	Hyogo College of Medicine	 日本	1238
387	山东师范大学	Shandong Normal University	 中国	1240
387	温州大学	Wenzhou University	 中国	1240
389	圆光大学	Wonkwang University	 韩国	1242
390	昆明理工大学	Kunming University of Science and Technology	 中国	1243
391	贵州大学	Guizhou University	 中国	1244
392	中国计量学院	China Jiliang University	 中国	1247
392	广州医科大学	Guangzhou Medical University	 中国	1247
394	湖北大学	Hubei University	 中国	1249
394	南京中医药大学	Nanjing University of Chinese Medicine	 中国	1249
-	阿德亚曼大学	Adiyaman University	 土耳其	-
-	爱知医科大学	Aichi Medical University	 日本	-
-	安徽师范大学	Anhui Normal University	 中国	-
-	安徽工业大学	Anhui University of Technology	 中国	-
-	安提里姆大学	Atilim University	 土耳其	-
-	巴伯勒理工大学	Babol Noshirvani University of Technology	 伊朗	-
-	常州大学	Changzhou University	 中国	-
-	韦洛尔基督医学院	Christian Medical College & Hospital (CMCH) Vellore	 印度	-
-	大连海事大学	Dalian Maritime University	 中国	-
-	多古斯大学	Dogus University	 土耳其	-
-	杜姆卢珀纳尔大学	Dumlupinar University	 土耳其	-
-	埃尔津詹大学	Erzincan University	 土耳其	-
-	福建农林大学	Fujian Agriculture	 中国	-
-	阿姆利泽纳那克大学	Guru Nanak Dev University	 印度	-
-	香港教育学院	Hong Kong Institute of Education	 香港	-
-	湖南农业大学	Hunan Agricultural University	 中国	-
-	印度科学教育学院普纳分校	Indian Institute of Science Education & Research (IISER) - Pune	 印度	-
-	岩手医科大学	Iwate Medical University	 日本	-
-	岩手大学	Iwate University	 日本	-
-	伊兹密尔理工学院	Izmir Yuksek Teknoloji Enstitusu	 土耳其	-
-	佳米雅综合大学	Jamia Hamdard University	 印度	-
-	江西师范大学	Jiangxi Normal University	 中国	-
-	高加索大学（土耳其）	Kafkas University	 土耳其	-
-	金泽医科大学	Kanazawa Medical University	 日本	-
-	川崎医科大学	Kawasaki Medical School	 日本	-
-	吞武里大学	King Mongkuts University of Technology Thonburi	 泰国	-
-	杏林大学	Kyorin University	 日本	-
-	马杜莱大学	Madurai Kamaraj University	 印度	-
-	泰国太后大学	Mae Fah Luang University	 泰国	-
-	长冈技术科学大学	Nagaoka University of Technology	 日本	-
-	国立政治大学	National Chengchi University	 台湾	-
-	御茶水女子大学	Ochanomizu University	 日本	-
-	大阪医科大学	Osaka Medical College	 日本	-
-	奥兹耶金大学	Ozyegin University	 土耳其	-
-	埼玉医科大学	Saitama Medical University	 日本	-
-	上海海事大学	Shanghai Maritime University	 中国	-
-	上海金融学院	Shanghai University of Finance	 中国	-
-	希瓦吉大学	Shivaji University	 印度	-
-	新加坡管理大学	Singapore Management University	 新加坡	-
-	苏兰拉里技术大学	Suranaree University of Technology	 泰国	-
-	德克萨斯农机大学卡塔尔分校	Texas A&M University at Qatar	 卡塔尔	-
-	经济技术大学	TOBB Ekonomi ve Teknoloji University	 土耳其	-
-	马来西亚石油大学	Universiti Teknologi Petronas	 马来西亚	-
-	印度尼西亚大学	University of Indonesia	印尼	-
-	产业医科大学	University of Occupational & Environmental Health - Japan	 日本	-
-	河内国立大学	Vietnam National University Hanoi	 越南	-
-	武汉科技大学	Wuhan University of Science & Technology	 中国	-
-	埃里温物理研究所	Yerevan Physics Institute	亚美尼亚	-
